
1;2;;C;15.33%;-1.00%;
2;1;;Java;10.45%;-7.33%;
3;3;;Python;10.31%;+0.20%;
4;4;;C++;6.52%;-0.27%;
5;5;;C#;4.97%;-0.35%;
6;6;;Visual Basic;4.85%;-0.40%;
7;7;;JavaScript;2.11%;+0.06%;
8;8;;PHP;2.07%;+0.05%;
9;12;;Assembly language;1.97%;+0.72%;
10;9;;SQL;1.87%;+0.03%;
11;10;;Go;1.31%;+0.03%;
12;18;;Classic Visual Basic;1.26%;+0.49%;
13;11;;R;1.25%;-0.01%;
14;20;;Delphi/Object Pascal;1.20%;+0.48%;
15;36;;Groovy;1.19%;+0.94%;
16;14;;Ruby;1.18%;+0.13%;
17;17;;Perl;1.15%;+0.24%;
18;15;;MATLAB;1.04%;+0.05%;
19;13;;Swift;0.95%;-0.28%;
20;19;;Objective-C;0.91%;+0.17%;
